original_title;genre;director;actors;description;combined_features
South of the Border;Action, Adventure, Music;George Sherman;Gene Autry, Smiley Burnette, June Storey, Lupita Tovar, Mary Lee, Duncan Renaldo, Frank Reicher, Alan Edwards, Claire Du Brey, Dick Botiller, William Farnum, Selmer Jackson, The Checkerboard Band;Federal Agent Gene Autry and his sidekick Frog are sent to Mexico to prevent foreign powers from gaining control of Mexican oil refineries and fomenting revolution among the Mexican people....;South of the Border Action, Adventure, Music George Sherman Gene Autry, Smiley Burnette, June Storey, Lupita Tovar, Mary Lee, Duncan Renaldo, Frank Reicher, Alan Edwards, Claire Du Brey, Dick Botiller, William Farnum, Selmer Jackson, The Checkerboard Band Federal Agent Gene Autry and his sidekick Frog are sent to Mexico to prevent foreign powers from gaining control of Mexican oil refineries and fomenting revolution among the Mexican people....
The Spy in Black;Thriller, War;Michael Powell;Conrad Veidt, Sebastian Shaw, Valerie Hobson, Marius Goring, June Duprez, Athole Stewart, Agnes Lauchlan, Helen Haye, Cyril Raymond, George Summers, Hay Petrie, Grant Sutherland, Robert Rendel, Mary Morris, Margaret Moffat;A German submarine is sent to the Orkney Isles in 1917 to sink the British fleet.;The Spy in Black Thriller, War Michael Powell Conrad Veidt, Sebastian Shaw, Valerie Hobson, Marius Goring, June Duprez, Athole Stewart, Agnes Lauchlan, Helen Haye, Cyril Raymond, George Summers, Hay Petrie, Grant Sutherland, Robert Rendel, Mary Morris, Margaret Moffat A German submarine is sent to the Orkney Isles in 1917 to sink the British fleet.
Stagecoach;Adventure, Drama, Western;John Ford;Claire Trevor, John Wayne, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Berton Churchill, Tim Holt, Tom Tyler;A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.;Stagecoach Adventure, Drama, Western John Ford Claire Trevor, John Wayne, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Berton Churchill, Tim Holt, Tom Tyler A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.
Stand Up and Fight;Drama, History, Romance;W.S. Van Dyke;Wallace Beery, Robert Taylor, Florence Rice, Helen Broderick, Charles Bickford, Barton MacLane, Charley Grapewin, John Qualen, Robert Gleckler, Clinton Rosemond, Cy Kendall, Paul Everton, Claudia Morgan, Selmer Jackson, Robert Middlemass;It starts in 1844 in Maryland, where Robert Taylor, plantation owner with slaves, is forced by debts to sell his estate and his people. Then he leaves for Cumberland, looking for a job (...;Stand Up and Fight Drama, History, Romance W.S. Van Dyke Wallace Beery, Robert Taylor, Florence Rice, Helen Broderick, Charles Bickford, Barton MacLane, Charley Grapewin, John Qualen, Robert Gleckler, Clinton Rosemond, Cy Kendall, Paul Everton, Claudia Morgan, Selmer Jackson, Robert Middlemass It starts in 1844 in Maryland, where Robert Taylor, plantation owner with slaves, is forced by debts to sell his estate and his people. Then he leaves for Cumberland, looking for a job (...
Stanley and Livingstone;Adventure, Drama, History;Henry King, Otto Brower;Spencer Tracy, Nancy Kelly, Richard Greene, Walter Brennan, Charles Coburn, Cedric Hardwicke, Henry Hull, Henry Travers, Miles Mander, David Torrence, Holmes Herbert, C. Montague Shaw, Brandon Hurst, Hassan Said, Paul Harvey;Tasked by his editor, American reporter Henry M. Stanley travels to a dangerous and uncharted region of East Africa to find the missing Scottish pioneer missionary Dr. David Livingstone.;Stanley and Livingstone Adventure, Drama, History Henry King, Otto Brower Spencer Tracy, Nancy Kelly, Richard Greene, Walter Brennan, Charles Coburn, Cedric Hardwicke, Henry Hull, Henry Travers, Miles Mander, David Torrence, Holmes Herbert, C. Montague Shaw, Brandon Hurst, Hassan Said, Paul Harvey Tasked by his editor, American reporter Henry M. Stanley travels to a dangerous and uncharted region of East Africa to find the missing Scottish pioneer missionary Dr. David Livingstone.
The Stars Look Down;Drama;Carol Reed;Michael Redgrave, Margaret Lockwood, Emlyn Williams, Nancy Price, Allan Jeayes, Edward Rigby, Linden Travers, Cecil Parker, Milton Rosmer, George Carney, Ivor Barnard, Olga Lindo, Desmond Tester, David Markham, Aubrey Mallalieu;Davey Fenwick (Sir Michael Redgrave) leaves his mining village on a university scholarship intent on returning to better support the miners against the owners. But he falls in love with ...;The Stars Look Down Drama Carol Reed Michael Redgrave, Margaret Lockwood, Emlyn Williams, Nancy Price, Allan Jeayes, Edward Rigby, Linden Travers, Cecil Parker, Milton Rosmer, George Carney, Ivor Barnard, Olga Lindo, Desmond Tester, David Markham, Aubrey Mallalieu Davey Fenwick (Sir Michael Redgrave) leaves his mining village on a university scholarship intent on returning to better support the miners against the owners. But he falls in love with ...
The Story of Alexander Graham Bell;Biography, Drama, History;Irving Cummings;Don Ameche, Loretta Young, Henry Fonda, Charles Coburn, Gene Lockhart, Spring Byington, Sally Blane, Polly Ann Young, Georgiana Young, Bobs Watson, Russell Hicks, Paul Stanton, Jonathan Hale, Harry Davenport, Beryl Mercer;The story of how;The Story of Alexander Graham Bell Biography, Drama, History Irving Cummings Don Ameche, Loretta Young, Henry Fonda, Charles Coburn, Gene Lockhart, Spring Byington, Sally Blane, Polly Ann Young, Georgiana Young, Bobs Watson, Russell Hicks, Paul Stanton, Jonathan Hale, Harry Davenport, Beryl Mercer The story of how
The Story of Vernon and Irene Castle;Biography, Drama, Musical;H.C. Potter;Fred Astaire, Ginger Rogers, Edna May Oliver, Walter Brennan, Lew Fields, Etienne Girardot, Janet Beecher, Rolfe Sedan, Leonid Kinskey, Robert Strange, Douglas Walton, Clarence Derwent, Sonny Lamont, Frances Mercer, Victor Varconi;The story of married couple;The Story of Vernon and Irene Castle Biography, Drama, Musical H.C. Potter Fred Astaire, Ginger Rogers, Edna May Oliver, Walter Brennan, Lew Fields, Etienne Girardot, Janet Beecher, Rolfe Sedan, Leonid Kinskey, Robert Strange, Douglas Walton, Clarence Derwent, Sonny Lamont, Frances Mercer, Victor Varconi The story of married couple
Streets of New York;Action, Crime, Drama;William Nigh;Jackie Cooper, Martin Spellman, Marjorie Reynolds, Dick Purcell, George Cleveland, George Irving, Robert Emmett O'Connor, Sidney Miller, David Durand, Buddy Pepper;Jimmy, an idealistic and hard-working young man, has just arrived in New York City with dreams of making his fortune. Along the way he faces numerous obstacles, opportunities and ...;Streets of New York Action, Crime, Drama William Nigh Jackie Cooper, Martin Spellman, Marjorie Reynolds, Dick Purcell, George Cleveland, George Irving, Robert Emmett O'Connor, Sidney Miller, David Durand, Buddy Pepper Jimmy, an idealistic and hard-working young man, has just arrived in New York City with dreams of making his fortune. Along the way he faces numerous obstacles, opportunities and ...
Stronger Than Desire;Drama;Leslie Fenton;Virginia Bruce, Walter Pidgeon, Lee Bowman, Ann Dvorak, Ilka Chase, Rita Johnson, Richard Lane, Ann E. Todd, Paul Stanton, Ferike Boros;Wealthy socialite Elizabeth Flagg is courted by persistent Michael McLain, despite her protests that she is a married woman. McLain is just charming enough to attract Elizabeth into a ...;Stronger Than Desire Drama Leslie Fenton Virginia Bruce, Walter Pidgeon, Lee Bowman, Ann Dvorak, Ilka Chase, Rita Johnson, Richard Lane, Ann E. Todd, Paul Stanton, Ferike Boros Wealthy socialite Elizabeth Flagg is courted by persistent Michael McLain, despite her protests that she is a married woman. McLain is just charming enough to attract Elizabeth into a ...
Susannah of the Mounties;Drama, Family, Romance;William A. Seiter, Walter Lang;Shirley Temple, Randolph Scott, Margaret Lockwood, Martin Good Rider, J. Farrell MacDonald, Maurice Moscovitch, Moroni Olsen, Victor Jory, Lester Matthews, Leyland Hodgson, Herbert Evans, Jack Luden, Charles Irwin, John Sutton;Shirley is the orphaned survivor of an Indian attack in the Canadian West. A Mountie and his girlfriend take her in. Everybody suffers further Indian attacks and the Mountie is saved from ...;Susannah of the Mounties Drama, Family, Romance William A. Seiter, Walter Lang Shirley Temple, Randolph Scott, Margaret Lockwood, Martin Good Rider, J. Farrell MacDonald, Maurice Moscovitch, Moroni Olsen, Victor Jory, Lester Matthews, Leyland Hodgson, Herbert Evans, Jack Luden, Charles Irwin, John Sutton Shirley is the orphaned survivor of an Indian attack in the Canadian West. A Mountie and his girlfriend take her in. Everybody suffers further Indian attacks and the Mountie is saved from ...
Swanee River;Biography, Drama, Musical;Sidney Lanfield;Don Ameche, Andrea Leeds, Al Jolson, Felix Bressart, Chick Chandler, Russell Hicks, George Reed, Richard Clarke, Diane Fisher, George P. Breakston, Al Herman, Charles Trowbridge, George Meeker, Leona Roberts, Charles Tannen;More fictional than factual biography of Stephen Foster. Songwriter from Pittsburgh falls in love with the South, marries a Southern gal (Leeds), then is accused of sympathizing when the ...;Swanee River Biography, Drama, Musical Sidney Lanfield Don Ameche, Andrea Leeds, Al Jolson, Felix Bressart, Chick Chandler, Russell Hicks, George Reed, Richard Clarke, Diane Fisher, George P. Breakston, Al Herman, Charles Trowbridge, George Meeker, Leona Roberts, Charles Tannen More fictional than factual biography of Stephen Foster. Songwriter from Pittsburgh falls in love with the South, marries a Southern gal (Leeds), then is accused of sympathizing when the ...
Swing!;Musical, Drama;Oscar Micheaux;Cora Green, Larry Seymour, Hazel Diaz, Alec Lovejoy, Amanda Randolph, Trixie Smith, Carman Newsome, Nat Reed, Sammy Gardiner, Dorothy Van Engle, Doli Armena, Columbus Jackson, George R. Taylor, Leon Gross, Consuelo Harris;Ted Gregory is trying to be the first black producer to mount a show on Broadway, but he has trouble with his star singer.;Swing! Musical, Drama Oscar Micheaux Cora Green, Larry Seymour, Hazel Diaz, Alec Lovejoy, Amanda Randolph, Trixie Smith, Carman Newsome, Nat Reed, Sammy Gardiner, Dorothy Van Engle, Doli Armena, Columbus Jackson, George R. Taylor, Leon Gross, Consuelo Harris Ted Gregory is trying to be the first black producer to mount a show on Broadway, but he has trouble with his star singer.
Tail Spin;Drama;Roy Del Ruth;Alice Faye, Constance Bennett, Nancy Kelly, Joan Davis, Charles Farrell, Jane Wyman, Kane Richmond, Wally Vernon, Joan Valerie, Edward Norris, J. Anthony Hughes, Harry Davenport, Mary Gordon, Robert Allen;Flyer enters a cross-country aerial derby, becomes rival to a wealthy society flyer, competes in parachute jumps and has love affairs.;Tail Spin Drama Roy Del Ruth Alice Faye, Constance Bennett, Nancy Kelly, Joan Davis, Charles Farrell, Jane Wyman, Kane Richmond, Wally Vernon, Joan Valerie, Edward Norris, J. Anthony Hughes, Harry Davenport, Mary Gordon, Robert Allen Flyer enters a cross-country aerial derby, becomes rival to a wealthy society flyer, competes in parachute jumps and has love affairs.
Tarzan Finds a Son!;Action, Adventure, Family;Richard Thorpe;Johnny Weissmuller, Maureen O'Sullivan, Johnny Sheffield, Ian Hunter, Henry Stephenson, Frieda Inescort, Henry Wilcoxon, Laraine Day, Morton Lowry;Tarzan finds a boy from a crashed plane and raises him with Jane in the jungle. A search party comes looking for the plane.;Tarzan Finds a Son! Action, Adventure, Family Richard Thorpe Johnny Weissmuller, Maureen O'Sullivan, Johnny Sheffield, Ian Hunter, Henry Stephenson, Frieda Inescort, Henry Wilcoxon, Laraine Day, Morton Lowry Tarzan finds a boy from a crashed plane and raises him with Jane in the jungle. A search party comes looking for the plane.
Tell No Tales;Crime, Mystery, Drama;Leslie Fenton;Melvyn Douglas, Louise Platt, Gene Lockhart, Douglass Dumbrille, Florence George, Halliwell Hobbes, Zeffie Tilbury, Harlan Briggs, Sara Haden, Hobart Cavanaugh, Oscar O'Shea, Theresa Harris, Jean Fenwick, Esther Dale, Joseph Crehan;Michael Cassidy is the editor of a failing newspaper. A scoop would be welcome to boost the sales and to avoid closure. To this end, he decides to personally track down a gang of kidnappers.;Tell No Tales Crime, Mystery, Drama Leslie Fenton Melvyn Douglas, Louise Platt, Gene Lockhart, Douglass Dumbrille, Florence George, Halliwell Hobbes, Zeffie Tilbury, Harlan Briggs, Sara Haden, Hobart Cavanaugh, Oscar O'Shea, Theresa Harris, Jean Fenwick, Esther Dale, Joseph Crehan Michael Cassidy is the editor of a failing newspaper. A scoop would be welcome to boost the sales and to avoid closure. To this end, he decides to personally track down a gang of kidnappers.
Tevya;Drama;Maurice Schwartz;Maurice Schwartz, Miriam Riselle, Rebecca Weintraub, Paula Lubelski, Leon Liebgold, Vicki Marcus, Betty Marcus, Julius Adler, Daniel Makarenko, Helen Grossman, Morris Strassberg, Al Harris, Louis Weisberg, Boas Young;"The original, non-musical film version of the book which inspired ""Fiddler on the Roof"".";"Tevya Drama Maurice Schwartz Maurice Schwartz, Miriam Riselle, Rebecca Weintraub, Paula Lubelski, Leon Liebgold, Vicki Marcus, Betty Marcus, Julius Adler, Daniel Makarenko, Helen Grossman, Morris Strassberg, Al Harris, Louis Weisberg, Boas Young The original, non-musical film version of the book which inspired ""Fiddler on the Roof""."
That's Right - You're Wrong;Comedy, Music;David Butler;Kay Kyser, Adolphe Menjou, May Robson, Lucille Ball, Dennis O'Keefe, Edward Everett Horton, Roscoe Karns, Moroni Olsen, Hobart Cavanaugh, Kay Kyser Band, Ginny Simms, Harry Babbitt, Sully Mason, M.A. Bogue;Radio sensation Kay Kyser and his band are lured to Hollywood to make a movie, but the screenwriters assigned to the project have difficulty tailoring a script to Kyser's persona.;That's Right - You're Wrong Comedy, Music David Butler Kay Kyser, Adolphe Menjou, May Robson, Lucille Ball, Dennis O'Keefe, Edward Everett Horton, Roscoe Karns, Moroni Olsen, Hobart Cavanaugh, Kay Kyser Band, Ginny Simms, Harry Babbitt, Sully Mason, M.A. Bogue Radio sensation Kay Kyser and his band are lured to Hollywood to make a movie, but the screenwriters assigned to the project have difficulty tailoring a script to Kyser's persona.
There's That Woman Again;Comedy, Crime, Mystery;Alexander Hall;Melvyn Douglas, Virginia Bruce, Margaret Lindsay, Stanley Ridges, Gordon Oliver, Tom Dugan, Don Beddoe, Jonathan Hale, Pierre Watkin, Paul Harvey;Bill Reardon, a private detective, is working on a case involving stolen items from a local jewelry store. The case takes a different turn when Bill's prying wife wants to help catch the crook.;There's That Woman Again Comedy, Crime, Mystery Alexander Hall Melvyn Douglas, Virginia Bruce, Margaret Lindsay, Stanley Ridges, Gordon Oliver, Tom Dugan, Don Beddoe, Jonathan Hale, Pierre Watkin, Paul Harvey Bill Reardon, a private detective, is working on a case involving stolen items from a local jewelry store. The case takes a different turn when Bill's prying wife wants to help catch the crook.
These Glamour Girls;Comedy, Drama;S. Sylvan Simon;Lew Ayres, Lana Turner, Tom Brown, Richard Carlson, Jane Bryan, Anita Louise, Marsha Hunt, Ann Rutherford, Mary Beth Hughes, Owen Davis Jr., Ernest Truex, Sumner Getchell, Peter Lind Hayes, Don Castle, Tom Collins;A drunken college boy invites a taxi dancer to spend the weekend at his snobbish school.;These Glamour Girls Comedy, Drama S. Sylvan Simon Lew Ayres, Lana Turner, Tom Brown, Richard Carlson, Jane Bryan, Anita Louise, Marsha Hunt, Ann Rutherford, Mary Beth Hughes, Owen Davis Jr., Ernest Truex, Sumner Getchell, Peter Lind Hayes, Don Castle, Tom Collins A drunken college boy invites a taxi dancer to spend the weekend at his snobbish school.
They All Come Out;Crime, Drama;Jacques Tourneur;Rita Johnson, Tom Neal, Bernard Nedell, Edward Gargan, John Gallaudet, Addison Richards, Frank M. Thomas, George Tobias, Ann Shoemaker, Charles Lane;"A ""Crime Doesn't Pay"" morality drama about a young man sentenced to a prison term and attempts by the system to rehabilitate jailed criminals.";"They All Come Out Crime, Drama Jacques Tourneur Rita Johnson, Tom Neal, Bernard Nedell, Edward Gargan, John Gallaudet, Addison Richards, Frank M. Thomas, George Tobias, Ann Shoemaker, Charles Lane A ""Crime Doesn't Pay"" morality drama about a young man sentenced to a prison term and attempts by the system to rehabilitate jailed criminals."
